r	P
0.000247508633631543	1.3959953842706946e-07
0.000263471569035108	1.6832292443310503e-07
0.0002804640253202668	2.029511584373637e-07
0.0002985524008792222	2.446966773698468e-07
0.0003178073764325555	2.950204529136112e-07
0.00033830419121567767	3.556828208164487e-07
0.0003601229369777768	4.288046724168814e-07
0.00038334887094206894	5.169411114277455e-07
0.00040807274895025	6.231701032000925e-07
0.0004343911800929199	7.511991526481952e-07
0.0004624070042117031	9.054936575069151e-07
0.0004922296937481653	1.0914313155963697e-06
0.0005239757815097568	1.3154878421208446e-06
0.0005577693160242912	1.5854603041399223e-06
0.0005937423462622624	1.910735638056127e-06
0.0006320354376210673	2.302613422526532e-06
0.0006727982211873506	2.7746937814858e-06
0.000716189978423727	3.34334344679782e-06
0.0007623802635645587	4.0282555848434016e-06
0.0008115495661528099	4.853122065961439e-06
0.000863890016306859	5.84644052457065e-06
0.0009196061354731107	7.0424829326235054e-06
0.0009789156355979923	8.482457621433875e-06
0.0010420502698421175	1.0215902891890528e-05
0.0011092567381607943	1.2302357732804312e-05
0.0011807976512894648	1.4813363935314495e-05
0.001256952556900858	1.78348642979471e-05
0.0013380190319435986	2.1470073953962192e-05
0.0014243138454305992	2.584291645984264e-05
0.0015161741962208613	3.110213355553353e-05
0.0016139590306313463	3.7426197899509263e-05
0.001718050445027508	4.502918212059326e-05
0.0018288551788731447	5.4167765816884576e-05
0.0019468062040736928	6.514959535901382e-05
0.0020723644168233577	7.834325030266312e-05
0.0022060204385670056	9.419011576694184e-05
0.0023482965331141237	0.0001132185132803484
0.0024997486473960035	0.00013606050443404073
0.0026609685838404605	0.0001634718534220013
0.002832586312852673	0.00019635571750269777
0.003015272434438241	0.00023579072999182848
0.0032097407985872723	0.00028306425006430674
0.003416751294658736	0.0003397116789119227
0.003637112820664647	0.0004075628841557618
0.003871686444056623	0.0004887969352353537
0.0041213887663656655	0.0005860065329698641
0.0043871955048425644	0.0007022737174402181
0.004670145305094251	0.0008412586600622067
0.0049713437996140855	0.001007303587703776
0.005291967928064851	0.001205554147324004
0.005633270536196059	0.001442100795731752
0.005996585271365944	0.0017241430854976598
0.006383331793797496	0.0020601800069535324
0.006795021323931633	0.0024602298262858717
0.007233262547553923	0.0029360831153103814
0.00769976790176923	0.0035015928784612703
0.008196360266386938	0.004173005818940216
0.008724980086863406	0.004969338812708495
0.00928769295663476	0.005912804530058418
0.009886697688468131	0.007029289802195211
0.010524334906370336	0.008348889703413916
0.011203096191627031	0.00990649932155156
0.01192563381871075	0.011742463716962158
0.012694771119101025	0.013903284501688111
0.013513513513513514	0.01644237866560831
0.014385060255646748	0.019420881577166368
0.01531281693333549	0.022908481319627808
0.0163004087759592	0.026984265506287446
0.017351694820104614	0.031737554264421805
0.018470782988835085	0.0372686840136483
0.01966204614348921	0.04368969584413108
0.020930139170731527	0.05112486963135585
0.022280017171623357	0.05971103049937388
0.023716954823787818	0.06959753798009127
0.02524656699232733	0.0809458505004107
0.026874830670030967	0.09392853917556157
0.028608108332603712	0.1087276060945712
0.030453172800178493	0.1255319444976542
0.03241723370225808	0.1445337630154576
0.034507965649499005	0.1659237854718346
0.03673353822241953	0.1898850341399694
0.039102647894212986	0.2165850107815208
0.04162455201240582	0.2461661097641873
0.04430910497214424	0.2787341349339852
0.04716679672245731	0.3143448509004227
0.05020879375596087	0.352988584267707
0.05344698274216996	0.3945730052231268
0.05689401697491838	0.4389043682781234
0.06056336581537925	0.4856676751313676
0.06446936732388653	0.5344064427847721
0.06862728428621731	0.5845030131373676
0.073053363853259	0.6351606185138621
0.07776490102710448	0.685388706705205
0.08278030624164846	0.733993306706693
0.08811917730175828	0.7795744506753898
0.09380237596212208	0.8205328175599192
0.0998521094450088	0.8550877808977076
0.1062920172154715	0.8813088763980955
0.1131472633530711	0.8971623084100915
0.120444634881064	0.900573457985867
0.1282126464372773	0.889505434799559
0.1364816516956763	0.8620525601111207
0.1452839619740047	0.8165463423448962
0.1546539724909611	0.7516701011414775
0.1646282967662631	0.6665770099606187
0.175245909688772	0.5610050510311752
0.1865482998117175	0.4353812756054253
0.1985796314701208	0.2909068845903136
0.2113869173538942	0.1296140491830304
0.2250202022109479	-0.04561479998182371
0.2395327583981303	-0.2310740408441853
0.25498129404412	-0.4223156749415656
0.2714261746376712	-0.6142884467614455
0.2889316589070721	-0.801535294973821
0.3075661499125234	-0.9784429664242692
0.3274024623325808	-1.139530327623994
0.3485181069890954	-1.2797546863179663
0.3709955937224337	-1.3948098968379774
0.3949227538004722	-1.4813877872810663
0.4203930831211846	-1.5373765797619414
0.4475061075498961	-1.561976509715165
0.476367771818764	-1.5557226325489322
0.5070908535081216	-1.5204157876622433
0.5397954037273233	-1.4589725821329242
0.5746092162170646	-1.3752122784316707
0.6116683267061995	-1.273601873240812
0.6511175444743083	-1.1589808084778692
0.693111018197104	-1.0362848003805962
0.7378128382857329	-0.9102855185282096
0.7853976780736214	-0.7853602120480101
0.8360514763563227	-0.6653030973700848
0.8899721639514013	-0.5531880084010757
0.9473704371174034	-0.4512888301348996
1.0084705808540664	-0.361060157622952
1.0735113453008287	-0.2831755425439468
1.1427468786581891	-0.2176152928307161
1.2164477202773218	-0.1637911140644298
1.2949018577984712	-0.1206919242163447
1.3784158524689147	-0.08703453336290524
1.4673160370376972	-0.061404567848247056
1.5619497909079414	-0.042376503363577005
1.662686897529413	-0.02860610107658053
1.7699209893353864	-0.018893017943359177
1.8840710858699343	-0.012215169126500018
2.0055832311159	-0.007739133294254086
2.134932236421452	-0.004812384981258905
2.2726235358357494	-0.0029435183604308262
2.4191951611034685	-0.0017761404556227757
2.5752198440355403	-0.0010610631295628324
2.741307254471147	-0.0006301118273215216
2.9181063825758664	-0.0003735498731197917
3.1063080747848493	-0.00022197627782230976
3.3066477333002755	-0.00013269987114861937
3.519908189691443	-8.005430754795844e-05
3.7469227638261353	-4.886659346829454e-05
3.988578520086112	-3.0256934981193908e-05
4.245819733590462	-1.9047135004265395e-05
4.519651579971149	-1.2213495957413648e-05
4.811144063118636	-7.983745662173793e-06
5.121436196245345	-5.315271515939269e-06
5.451740452604528	-3.593293529341347e-06
5.803347503255864	-2.454734850421952e-06
6.177631260390662	-1.6844243779858925e-06
6.576054245923611	-1.1536300467828471e-06
7.0001733063289455	-7.837906675167417e-07
7.451645696051875	-5.253739733019493e-07
7.9322355532663344	-3.4577377294297015e-07
8.443820793283255	-2.2251664582000523e-07
8.98840044654543	-1.3950232349986194e-07
9.568102469882424	-8.491653921264321e-08
10.185192061548126	-5.002870064213256e-08
10.842080512532148	-2.8439109837238294e-08
11.54133462873178	-1.554975366491271e-08
12.285686760801788	-8.151417043173734e-09
13.078045480874009	-4.0827361780763045e-09
13.921506947866131	-1.9465302794726247e-09
14.81936700578998	-8.797783557067353e-10
15.775134062333583	-3.751933585580895e-10
16.792542798040483	-1.5016000131078755e-10
17.8755687596551	-5.5935383324860645e-11
19.028443894658047	-1.9823382452218028e-11
