Orb	Energy(Hartree)
1s	2557.1134
2s	439.4466
2p-	419.8394
2p+	369.9300
3s	101.4524
3p-	92.9064
3p+	82.0703
3d-	67.6356
3d+	65.3158
4s	20.8502
4p-	17.3143
4p+	14.8021
4d-	8.9826
4d+	8.5283
4f-	1.2954
4f+	1.2127
5s	2.9466
5p-	1.8765
5p+	1.4894
5d-	0.1562
5d+	0.1316
6s	0.2259

# Calculation using HULLAC code with anginp:
# atom w
# data
# group w
# grnd 5s 2 5p 6 5d 4 6s 2   min1
# e5d2 5s 2 5p 6 5d 6  min2
# endata
# process energy w
# endproc
# endjob
