r	P
0.00028618185763647154	2.6545171189060575e-08
0.00030463900169684367	3.200698970269851e-08
0.00032428652927655847	3.859162914730689e-08
0.00034520121351660067	4.65296374362753e-08
0.0003674647790001423	5.6098822038706575e-08
0.00039116422109312726	6.763391532928997e-08
0.00041639214588055446	8.15382103519593e-08
0.0004432471320267672	9.829756690139935e-08
0.0004718341159737266	1.1849726848721173e-07
0.0005022648019824386	1.42842307527896e-07
0.0005346580986197818	1.7218179221179057e-07
0.0005691405833963162	2.075383076595284e-07
0.0006058469973706564	2.5014323086019436e-07
0.0006449207716530867	3.0147919873429273e-07
0.0006865145878657409	3.633311680358297e-07
0.0007307909747493591	4.378477923004e-07
0.0007779229432478741	5.276151837786078e-07
0.0008280946625524344	6.357455380737215e-07
0.0008815021797465211	7.659835888507744e-07
0.0009383541858641865	9.228344446911961e-07
0.0009988728313548058	1.1117170579041393e-06
0.0010632945941407843	1.3391484071050316e-06
0.001131871203660179	1.6129644666783475e-06
0.0012048706245049489	1.942585216346818e-06
0.0012825781034984187	2.339332347636698e-06
0.0013652972843034435	2.816809991717243e-06
0.0014533513939166173	3.3913607724874025e-06
0.001547084505684786	4.082611835437977e-06
0.0016468628837791302	4.914128281415632e-06
0.0017530764143803708	5.914194720040123e-06
0.001866140129167494	7.116749537047094e-06
0.001986495827063056	8.562501043374295e-06
0.002114613800572073	1.0300260056310622e-05
0.0022509946734602074	1.2388529785785095e-05
0.0023961713569520078	1.4897401311081956e-05
0.0025507111320931	1.7910811603416942e-05
0.0027152178664132053	2.152923116681764e-05
0.0028903343735516293	2.5872860143680367e-05
0.003076744925065532	3.108542539348069e-05
0.0032751779242359037	3.733868685492908e-05
0.003486408752319216	4.483777971292846e-05
0.003711262798366533	5.382753979542104e-05
0.003950618684449164	6.459998351225313e-05
0.004205411698893498	7.75031408064632e-05
0.00447663745094047	9.295147028884248e-05
0.0047653557611103	0.00011143812020337706
0.0050726948024742155	0.00013354933729476493
0.005399855509015226	0.00015998136809086268
0.0057481162683037865	0.00019156024349806504
0.006118837916824984	0.000229264887655906
0.006513469057476694	0.0002742540451463974
0.006933551720016873	0.0003278975759644003
0.007380727386578354	0.00039181272369306994
0.007856743405795952	0.0004679060170192924
0.008363459820609223	0.0005584215151813232
0.008902856636420672	0.0006659961502589061
0.009477041558009896	0.0007937229482298591
0.010088258225435812	0.0009452229197262784
0.01073889498110894	0.0011247263918846766
0.011431494202291278	0.001337164493875765
0.0121687622354907	0.0015882713973712323
0.012953579971568756	0.0018846977332330776
0.013789014102884304	0.0022341353377873206
0.01467832910646056	0.0026454531034417047
0.015625	0.0031288431928866885
0.016632725920591552	0.0036959761940518823
0.01770544457916916	0.004360162911806
0.018847347647202823	0.005136519377476614
0.02006289713574596	0.006042130273484804
0.021356842830840567	0.007096204284359836
0.022734240853409395	0.008320212868769767
0.024200473416158327	0.009738001581073413
0.025761269854689503	0.011375860351541464
0.027422729015004664	0.013262536080379757
0.029191343084878477	0.015429167561376288
0.03107402296222331	0.017909119216226715
0.033078125259573044	0.020737686531215133
0.035211481050206384	0.023951642646535005
0.037482426468235915	0.027588592529640982
0.03989983528223323	0.031686098922607896
0.04247315356967257	0.03628054323080988
0.04521243662768377	0.04140568524579556
0.04812838826434424	0.047090888683608494
0.051232402624041766	0.05335898566141143
0.05453660871034127	0.06022376317958056
0.05805391778032975	0.06768706920534082
0.06179807379563402	0.07573555584147972
0.06578370712724937	0.0843371030148249
0.07002639172403226	0.09343699867835228
0.07454270596824379	0.1029539909349688
0.07935029745593877	0.1127763735139091
0.08446795195533073	0.1227583176587764
0.08991566681258954	0.1327167186335755
0.09571472909190605	0.14242888020188
0.101887798755158	0.1516314103424077
0.1084589972062036	0.1600207390607277
0.1154540015457914	0.1672556857950118
0.1229001449053889	0.1729624901504309
0.1308265232519885	0.1767426666856781
0.1392641090812302	0.1781839458866051
0.1482458724431019	0.1768744175706567
0.1578069097731258	0.1724198042554493
0.167984581032443	0.1644635714835365
0.1788186556926737	0.1527093454934739
0.1903514681359917	0.1369448726361678
0.2026280830776427	0.1170665319567492
0.2156964716572983	0.09310320613117838
0.2296076988873272	0.06523812080570582
0.2444161231904401	0.03382706888119012
0.2601796088064085	-0.0005887561409670639
0.2769597518978381	-0.03727725956249524
0.2948221212385138	-0.07531929302931491
0.3138365144248073	-0.1136237387239144
0.3340772306113022	-0.1509552614107835
0.3556233608363551	-0.1859752657032271
0.3785590970720465	-0.2172952459944873
0.4029740612061416	-0.2435400342109102
0.428963655241564	-0.2634167225057572
0.4566294340817959	-0.2757836695731346
0.4860795023588697	-0.279713402889794
0.5174289368545673	-0.274543675748721
0.5508002361654459	-0.2599124301074457
0.5863237993687656	-0.235774646895864
0.6241384355597177	-0.202401493316603
0.6643919062509809	-0.160364199574041
0.7072415027540431	-0.1105062551924086
0.752854660798419	-0.05390764055469775
0.8014096147904016	0.008155930252708037
0.8530960942678786	0.07425696042621804
0.9081160652726248	0.1428626245609412
0.966684519536998	0.212383629461211
1.0290303145688078	0.2812252630588644
1.0953970679169978	0.3478396513312897
1.1660441091125142	0.4107771628763917
1.241247493004083	0.4687339451525026
1.3213010784485313	0.5205921516252302
1.4065176765706533	0.5654497524882727
1.4972302730794824	0.6026378879512926
1.5937933294171829	0.6317252635321513
1.6965841678248377	0.6525107081316139
1.8060044457373072	0.6650063257563912
1.9224817252683837	0.669414398436213
2.0464711439190406	0.6661012522628067
2.178457193037112	0.6555707714652234
2.31895561097776	0.6384393525733095
2.468515398362304	0.6154130943874935
2.6277209633100846	0.5872671562642402
2.797194405025885	0.5548266484190276
2.9775979446660936	0.5189482085069238
3.169636512982264	0.4805015418997313
3.3740605048533454	0.4403505629935982
3.5916687114699815	0.3993342393835949
3.823311441628444	0.3582476762099527
4.069893844330731	0.3178242796225186
4.332379445673968	0.278719949860563
4.611793913849567	0.2415001741282264
4.909229066963972	0.206630661735396
5.22584713934164	0.1744718608962571
5.562885322980923	0.1452773942475268
5.92166060190868	0.1191962076605784
6.303574898323985	0.09627807279241565
6.7101205506395925	0.07648201317689776
7.142886144826703	0.05968720556864488
7.603562721849174	0.045705900484828005
8.093950385442843	0.03429787196802148
8.61596533605998	0.02518583009585116
9.1716473584642	0.01807112114931644
9.763167792233764	0.012648934260634657
10.392838016318152	0.008622176948436156
11.063118480801553	0.0057132182048504
11.77662832116502	0.0036728493890651314
12.536155592615296	0.002286072521316717
13.344668164471118	0.0013746545656664218
14.205325317177069	0.0007967259068691706
15.121490087260572	0.00044398762404512543
16.096742408470217	0.0002372740794007281
17.134893100444664	0.00012126923641337864
18.239998759573208	5.9102242796364086e-05
19.416377610234314	2.7382122734768647e-05
20.66862637835121	1.2020373187287488e-05
22.00163825319837	4.98255035706891e-06
23.42062200764488	1.9430217602866097e-06
24.931122351547643	7.100952818641586e-07
26.539041597825655	2.4221397725547877e-07
28.250662725875987	7.678310806936706e-08
30.0726739324523	2.2520065032277653e-08
32.01219476593903	6.0825221256356065e-09
34.0768039461414	1.5056005112946587e-09
36.274568978297765	3.3982508046718733e-10
38.614077677031645	6.966746926778527e-11
