r	P
0.0003052606481455696	1.6641510415775698e-11
0.00032494826847663327	2.136181939318937e-11
0.000345905631228329	2.7420507077930417e-11
0.0003682146277510407	3.519686144485518e-11
0.0003919624309334851	4.5177588381950554e-11
0.00041724183583266913	5.7987207839664204e-11
0.00044415162227259136	7.442704187125984e-11
0.00047279694082855167	9.552521973131593e-11
0.0005032897237053083	1.2260080850688227e-10
0.0005357491221146012	1.5734605310699364e-10
0.0005703019718611005	2.0193183066385184e-10
0.0006070832889560706	2.591428603393395e-10
0.0006462367971953668	3.32551048208544e-10
0.0006879154897632925	4.267377008399289e-10
0.0007322822270567903	5.475783542312624e-10
0.000779510373065983	7.026078206460656e-10
0.0008297844727977324	9.0148798932611e-10
0.0008833009733892633	1.156607227694246e-09
0.0009402689917296224	1.4838482999754e-09
0.0010009111315884658	1.9035720381102354e-09
0.0010654643534451262	2.4418771876992876e-09
0.0011341809004168366	3.13221370272377e-09
0.001207329283904191	4.017448287589107e-09
0.0012851953328052786	5.152508470624523e-09
0.0013680833103983134	6.607766577557871e-09
0.0014563171032570064	8.473369740210427e-09
0.0015502414868443916	1.0864779173315174e-08
0.0016502234727304385	1.3929854745589358e-08
0.001756653742697739	1.7857913631187722e-08
0.0018699481753390625	2.2891309972307713e-08
0.001990549471111993	2.9340232879798717e-08
0.0021189288822005934	3.760161144169384e-08
0.0022555880539435447	4.8183258700658446e-08
0.0024010609850242206	6.173469570420753e-08
0.002555916114082141	7.908648927970771e-08
0.002720758540899307	1.0130043527539805e-07
0.0028962323908407524	1.2973355051847686e-07
0.0030830233317884048	1.6611963673871285e-07
0.0032818612534032342	2.126731922353901e-07
0.003493523119184964	2.7222172736150684e-07
0.0037188360024738303	3.4837415711574836e-07
0.003958680318257636	4.457349846953762e-07
0.00421399326341244	5.701765615747545e-07
0.004485772478819731	7.291849467226679e-07
0.004775079947669835	9.322989566108356e-07
0.005083046145184321	1.1916671051648211e-06
0.005410874455972496	1.5227535338826866e-06
0.005759845876282909	1.945232041308561e-06
0.006131324019524039	2.4841173239186368e-06
0.006526760444613316	3.171195009704391e-06
0.00694770032797514	4.0468275773498605e-06
0.0073957885013513315	5.162232507266996e-06
0.00787277587901691	6.582352851055334e-06
0.008380526299515682	8.389469849296662e-06
0.008921023808649838	1.0687743488513196e-05
0.009496380412182048	1.3608911408842966e-05
0.010108844328543892	1.731943105445602e-05
0.0107608087737982	2.2029416385624617e-05
0.011454821313182872	2.8003801143602e-05
0.012193593815777363	3.557625820658941e-05
0.012980013051190082	4.516652196328292e-05
0.01381715196967334	5.730190114956861e-05
0.014708281709743256	7.264393681590629e-05
0.015656884380224598	9.202135779087645e-05
0.016666666666666666	0.00011647071801870724
0.017741574315297656	0.00014728637017128742
0.018885807551113774	0.00018608174122054083
0.02010383749034968	0.00023486423059552064
0.02140042361146236	0.0002961264511068355
0.022780632352896606	0.0003729569758090896
0.024249856910303357	0.0004691742361128084
0.025813838310568885	0.0005894877292349814
0.027478687845002136	0.0007396912223477517
0.029250910949338307	0.0009268931651412115
0.031137432623870368	0.0011597900114172597
0.0331456244930382	0.001448988562015162
0.03528333361021125	0.0018073837205987637
0.03755891312022015	0.002250598129543187
0.03998125489945163	0.002797489936093092
