r	P
0.00027336774460797283	2.366347169377102e-11
0.0002909984493820596	3.03755357667915e-11
0.00030976623692089165	3.8990712944690113e-11
0.00032974444276212604	5.0048333152530417e-11
0.0003510111321792404	6.424046953308346e-11
0.00037364940522328574	8.245516030566183e-11
0.0003977477214381416	1.0583184786375126e-10
0.000423400245518106	1.3583248357036882e-10
0.00045070721525848503	1.7433271833361834e-10
0.00047977533323695625	2.2373884374209623e-10
0.0005107181837562094	2.8713774285641246e-10
0.0005436566766770781	3.6848915156865117e-10
0.0005787195198764479	4.728721459197865e-10
0.0006160437221760829	6.068011179162194e-10
0.0006557751287075734	7.786307867104928e-10
0.0006980689908053579	9.990752747871327e-10
0.0007430905726546859	1.2818732937368823e-09
0.0007910157970650118	1.6446404573940121e-09
0.0008420319328921994	2.1099612153669185e-09
0.000896338326795641	2.706787571115114e-09
0.0009541471821896653	3.472230500500355e-09
0.001015684388432988	4.453853946992751e-09
0.0010811904034962903	5.7126118753806135e-09
0.001150921193556966	7.326607946738064e-09
0.0012251492331925194	9.395907262394687e-09
0.0013041645700809011	1.204869327595004e-08
0.001388275958368112	1.5449144155470318e-08
0.0014778120651317355	1.9807506376251528e-08
0.0015731227546546915	2.539297520993489e-08
0.0016745804555275184	3.2550159750198266e-08
0.0017825816159211885	4.1720123939947474e-08
0.0018975482527169487	5.346726710018364e-08
0.0020199296005464582	6.851365334315127e-08
0.0021502038671858694	8.778283874336459e-08
0.0022888801021631114	1.1245580318679153e-07
0.002436500185879976	1.440423018778616e-07
0.0025936409470215687	1.8447184917210602e-07
0.0027609164165269297	2.3620968454340969e-07
0.002938980226928269	3.024045096614379e-07
0.003128528166434296	3.870766052067978e-07
0.0033303008977377583	4.953572344055668e-07
0.0035450868521710167	6.337931400467742e-07
0.003773725310518604	8.107335960075186e-07
0.004017109682525132	1.0368220735172916e-06
0.004276190997913285	1.3256203630312643e-06
0.004551981622553124	1.6944002475443849e-06
0.004845559214303728	2.1651469142361303e-06
0.005158070933984694	2.765829664020235e-06
0.005490737927931975	3.5320096797941034e-06
0.005844860099653716	4.508872312917914e-06
0.006221821189231469	5.753793358807646e-06
0.006623094180314625	7.33957610536668e-06
0.00705024705583604	9.358529746242259e-06
0.007504948924939416	1.1927601488406738e-05
0.007988976545059555	1.5194826061935378e-05
0.008504221264640642	1.9347419388422475e-05
0.009052696413621395	2.462192027069825e-05
0.009636545170565553	3.131687791412844e-05
0.010258048937178688	3.980869709093188e-05
0.010919636252934952	5.057139047459431e-05
0.011623892284647832	6.42011532124253e-05
0.012373568928065678	8.144687270259164e-05
0.013171595560964111	0.00010324792167855124
0.01402109048975337	0.0001307808601755051
0.014925373134328358	0.00016551699685675436
0.01588797699877402	0.00020929313728292064
0.016912663478609348	0.00026439827999037534
0.0180034365585221	0.00033367951324431204
0.01916455845802599	0.0004206709162814128
0.020400566286176064	0.0005297498755654289
0.021716289770420914	0.0006663258810033815
0.023116870128867657	0.0008370675545540305
0.02460778015970341	0.001050174360807748
0.02619484562627311	0.0013157001212934078
0.027884268021376453	0.0016459360527419824
0.0296826487997357	0.0020558615083080007
0.03159701517332351	0.0025636708331487324
0.0336348475703464	0.00319138464095314
0.03580410886518057	0.003965553237615495
0.03811327549347652	0.004918058693348966
0.0405713705740156	0.006087019993546873
0.0431879991667427	0.00751780254672096
0.045973385804746726	0.009264128828521154
0.04893841444684587	0.011389280802277144
0.05209467100689316	0.013967376673544788
0.055454488625986634	0.017084694212276725
0.059030995864486235	0.020841000059422302
0.06283816800214866	0.025350828972226045
0.06689088164683678	0.030744638879348776
0.0712049728651881	0.037169747221277416
0.07579729906238926	0.04479093206325477
0.08068580485285323	0.05379055915895722
0.08588959217919001	0.06436807546094216
0.0914289949534625	0.07673869320402321
0.09732565851238972	0.09113107999175597
0.1036026241969706	0.1077838730760852
0.1102844193870246	0.1269408539357074
0.117397153342461	0.148844655197362
0.12496861922578	0.173728927040394
0.1330284027044587	0.2018089630570943
0.1416079975575899	0.233270871748292
0.1507409287385082	0.2682594725880753
0.1604628833742739	0.3068651872479486
0.1708118502138973	0.3491102814653285
0.181828268070201	0.3949348908412259
0.1935551838353601	0.4441833421651026
0.2060384206875685	0.4965913763028463
0.2193267571461036	0.551775008614036
0.2334721176744503	0.6092219420296893
0.2485297755762708	0.6682866710617014
0.2645585689770394	0.7281906442748585
0.2816211307352967	0.7880290101399096
0.2997841331819055	0.8467854443641973
0.3191185486436319	0.9033562235765432
0.3396999267690556	0.9565839813921964
0.3616086897404624	1.005300453771814
0.3849304465252695	1.0483761127204898
0.4097563273949268	1.0847731562110758
0.4361833400184319	1.1135972135263492
0.4643147485219054	1.1341426805779489
0.4942604769954076	1.1459270375107076
0.5261375390237095	1.1487108188567792
0.5600704949194178	1.142501853268785
0.5961919384451034	1.127544526863015
0.6346430149263101	1.104296660578612
0.6755739727799815	1.0733977400455177
0.7191447506134152	1.0356325262192043
0.7655256021878463	0.9918935860735832
0.8148977616887199	0.9431452898062496
0.8674541519022086	0.8903906841521656
0.9234001380651922	0.8346416953868097
0.9829543303343836	0.7768925416914563
1.0463494380102665	0.7180960853215154
1.113833178853745	0.6591430333841791
1.1856692470486767	0.6008442224389942
1.262138343592627	0.5439165058228749
1.3435392731421163	0.4889728631159747
1.4301901115983116	0.4365172133593466
1.5224294489955177	0.3869440701603421
1.6206177125490984	0.3405427234042896
1.7251385750326518	0.2975051887048779
1.8364004539877097	0.2579368374964295
1.954838107624158	0.2218684728460864
2.0809143336473905	0.189268663805172
2.215121777650397	0.1600553652205131
2.3579848581371263	0.1341061715994014
2.5100618156991854	0.1112669121215743
2.6719468943530846	0.09135862233969533
2.8442726635616418	0.07418317504895364
3.0277124900129087	0.05952798892686482
3.222983168815136	0.04717025372424046
3.430847724389237	0.03688103193895781
3.6521183920032887	0.028429452176404267
3.887659791599504	0.02158703986615492
4.138392306315432	0.016132076433561987
4.405295678901079	0.01185376884368246
4.689412840084988	0.008555963651205653
4.991853983848732	0.006060153802298853
5.313800905534016	0.004207590091913685
5.6565116197336645	0.0028604023708312903
6.021325276010972	0.001901736555397812
6.40966739165573	0.0012350036785129242
6.823055421924014	0.0007824042937975795
7.2631046895275695	0.00048293012011624194
7.731534696542417	0.00029005543851504144
8.230175843400577	0.00016931795813936417
8.760976581219534	9.595911799051171e-05
9.326011025417326	5.2753907733265454e-05
9.927487060363609	2.8116515214847104e-05
10.567754966735812	1.4525684921141623e-05
11.24931660529196	7.2766879588875345e-06
11.974835192945957	3.5380727279443794e-06
12.747145709345546	1.6723033027172272e-06
13.5692659746169	7.699667115339502e-07
14.444408441562338	3.461079059860537e-07
15.37599274838946	1.5218406535476853e-07
16.36765908102177	6.551975789061065e-08
17.423282397204257	2.760583022774364e-08
18.546987567985013	1.1357186967565724e-08
19.743165495738474	4.5444897112017326e-09
21.016490271711877	1.759493997826706e-09
22.37193744013839	6.544085507318468e-10
23.814803440284315	2.2789991811222662e-10
