r	P
0.00044672289972522394	0.0001534410161804228
0.00047553405142921934	0.00017376877855058433
0.0005062033627731645	0.00019678205181939887
0.0005388506747576206	0.0002228340775094593
0.0005736035574636368	0.0002523242437077029
0.0006105978085356134	0.00028570404817815934
0.0006499779838135485	0.0003234838185585856
0.0006918979621881244	0.0003662402829704677
0.0007365215468858171	0.00041462509529599766
0.0007840231055335627	0.0004693744314539784
0.0008345882515040496	0.0005313197863349644
0.0008884145692040056	0.0006014001157306761
0.0009457123861395613	0.0006806754837096349
0.00100670559477555	0.0007703423935427032
0.0010716325274001807	0.0008717509995550581
0.0011407468874136337	0.000986424418250552
0.0012143187406796084	0.0011160803797799286
0.001292635570813556	0.0012626554853424204
0.0013760034025311549	0.0014283323624261603
0.0014647479974465353	0.0016155700378699788
0.0015592161269928676	0.0018271378784765176
0.0016597769274392731	0.0020661534801630194
0.001766823342298816	0.0023361249191515823
0.0018807736577638224	0.0026409978121135712
0.0020020731371682638	0.0029852076659929484
0.002131195760863912	0.003373738031769612
0.002268646078308865	0.0038121850088063953
0.0024149611796055195	0.004306828676518826
0.0025707127941918127	0.004864712056475808
0.0027365095248864327	0.005493728228876737
0.002912999226017552	0.00620271624041486
0.003100871534927697	0.0070015664430716044
0.0033008605667466514	0.00790133589203015
0.003513747782962275	0.008914374401581295
0.003740365044998256	0.010054461805735456
0.003981597864730693	0.011336956889427097
0.004238388864645003	0.012778958339808287
0.004511741461153763	0.014399477907075103
0.004802723785468148	0.01621962575110557
0.005112472857343849	0.01826280767297757
0.005442199028010484	0.02055493357663104
0.00579319070964532	0.02312463606127259
0.006166819409871865	0.02600349749352676
0.006564545090955704	0.029226283231931896
0.0069879218746387835	0.0328311778555104
0.007438604114903885	0.03686002026154856
0.007918352862398774	0.04135853232282056
0.008429042745779866	0.04637653440786254
0.008972669296864447	0.05196813944599396
0.009551356748214609	0.05819191533892434
0.010167366333622157	0.06511100336255839
0.010823105123928776	0.07279317774969747
0.011521135432707675	0.08131082888686926
0.012264184828559534	0.0907408494961196
0.013055156793146104	0.1011643998181544
