Orb	Energy(Hartree)
1s	3334.4657
2s	597.0121
2p-	572.4755
2p+	487.2020
3s	145.0233
3p-	134.4480
3p+	115.1613
3d-	98.0722
3d+	94.0521
4s	33.6296
4p-	29.0370
4p+	24.2870
4d-	16.8454
4d+	15.9760
4f-	6.3269
4f+	6.1222
5s	6.4323
5p-	4.8435
5p+	3.9323
5d-	1.7377
5d+	1.6302
6s	1.1937
6p-	0.8268
6p+	0.7084

# Calculation using HULLAC code with anginp:
# atom bi 
# data
# group bi 
# grnd 5d 10 6s 2 6p 3  min1
# endata
# process energy bi 
# endproc
# endjob
