r	P
0.00024099524853597604	3.6023229744305986e-11
0.0002565381066920789	4.6241096282599696e-11
0.0002730833930749966	5.93560972292157e-11
0.0002906957587508216	7.61892614401951e-11
0.00030944402442117247	9.779414060782908e-11
0.00032940144934158087	1.255226063606782e-10
0.0003506460175836248	1.6110924577235379e-10
0.0003732607427593829	2.067796048866292e-10
0.00039733399239892767	2.653890089689981e-10
0.00042295983324836927	3.406005829949931e-10
0.00045023839883771095	4.3711352290734285e-10
0.00047927628075479257	5.609557764166593e-10
0.0005101869451542369	7.198592721163249e-10
0.0005430911761289152	9.237409310089055e-10
0.0005781175476764134	1.1853192164991752e-09
0.0006154029261047233	1.5209043252285479e-09
0.000655093004840315	1.951410799799174e-09
0.0006973428737283658	2.503655004056433e-09
0.0007423176250497019	3.2120173699676927e-09
0.0007901929986224729	4.1205716583585824e-09
0.0008411560685093101	5.2858120206483635e-09
0.000895405974013292	6.7801451219994285e-09
0.000953154697819098	8.696361175184957e-09
0.0010146278943199568	1.1153357224189849e-08
0.0010800657713670894	1.430346195181336e-08
0.0011497240288871103	1.8341808175020785e-08
0.001223874858035046	2.3518322766663698e-08
0.001302808004787188	3.015306128265148e-08
0.001386831902129794	3.8655815320925824e-08
0.001476274875267681	4.9551176314055353e-08
0.0015714864245621003	6.351056491581262e-08
0.0016728385912109945	8.139314919308205e-08
0.001780727411008062	1.0429810127177893e-07
0.0018955744618612276	1.336313109778232e-07
0.00201782851111748	1.7119052431825662e-07
0.002147967269131032	2.1927395222092514e-07
0.0022864992559269094	2.808187610588529e-07
0.0024339657882540035	3.595775869138271e-07
0.002590943094792027	4.603434054486577e-07
0.0027580445677776026	5.892358579720669e-07
0.002935923159847761	7.540656311274874e-07
0.0031252739354665545	9.647978991816767e-07
0.0033268367869045586	1.234141396747085e-06
0.0035413993253839986	1.5782966853558344e-06
0.003769799958686712	2.0179059688511057e-06
0.00401293116725078	2.5792578448549446e-06
0.004271742991557232	3.295814201785413e-06
0.004547246744433875	4.210143759059542e-06
0.004840518962782136	5.376368331669658e-06
0.005152705614168408	6.863254793228615e-06
0.005485026574717215	8.75811914844125e-06
0.0058387803958036815	1.117175060334668e-05
0.006215349378171246	1.424461484478107e-05
0.006616204973301854	1.8154659074775183e-05
0.007042913533144609	2.3127119272465416e-05
0.007497142430670039	2.9446825731208496e-05
0.007980666575166228	3.747361972969365e-05
0.008495375347735422	4.766163641605378e-05
0.009043279984091742	6.0583381414049445e-05
0.009626521433508445	7.695973675101086e-05
0.010247378724623748	9.769728154872534e-05
0.01090827787079474	0.00012393461118137607
0.011611801349797307	0.0001570996924088718
0.012360698194914156	0.00019898070867840675
0.013157894736842105	0.00025181333654463806
0.014006506038392886	0.0003183879574928055
0.014909848066668768	0.00040218095440077616
0.01587145065027606	0.0005075149709639436
0.016895071272207123	0.0006397538242129753
0.017984709752286793	0.0008055386475881816
0.01914462387655528	0.0010130727896090004
0.02037934603465965	0.0012724639747383724
0.021693700930264844	0.0015961332079073797
0.023092824433688135	0.001999300813164108
0.024582183650423976	0.0025005607577496263
0.02616759828397753	0.0031225549150563727
0.02785526337648256	0.00389275901920404
0.02965177351596327	0.004844391577065886
0.031564148604830235	0.006017455702968104
0.033599861290301666	0.007459921451100445
0.035766866163934805	0.009229052414428611
0.03807363084436528	0.011392874760301534
0.040529169064710935	0.014031779061701518
0.04314307589392991	0.017240234808317587
0.04592556522976107	0.021128583886754728
0.04888750970975136	0.025824862183371274
0.05204048319632339	0.03147657746568255
0.05539680600189421	0.03825234671255047
0.05896959303076401	0.046343267287596655
0.06277280502588951	0.05596386447502698
0.06682130312079054	0.06735242430402522
0.0711309069097522	0.08077048755663016
0.0757184562632333	0.09650125173282319
0.08060187713002613	0.1148466070178159
0.08580025158329094	0.1361225254462748
0.09133389238417151	0.1606525355556938
0.09722442235435065	0.1887590537463631
0.1034948588676959	0.2207524129073102
0.1101697037911482	0.2569175306571508
0.1172750392262991	0.2974982921682012
0.12483862942577	0.3426798803004752
0.1328900292826322	0.3925694596524596
0.1414606998167941	0.4471758009848398
0.15058413110962	0.5063886103470278
0.1602959731671509	0.5699585007909753
0.170634175223278	0.6374787185727689
0.1816391340271986	0.7083699195230972
0.1933538516945913	0.7818694903478709
0.205824103739318	0.857027112276072
0.2190986179422387	0.9327084267646364
0.2332292647560742	1.0076086995085434
0.2482712599903274	1.0802781684978584
0.2642833805682587	1.1491601747567528
0.2813281941989913	1.2126421229647606
0.2994723038621938	1.2691178189276526
0.3187866080606707	1.3170579499498627
0.3393465778578034	1.3550837407324
0.3612325517823697	1.3820375626197718
0.3845300497530913	1.397043910891703
0.4093301072495744	1.3995549367983489
0.4357296310354251	1.3893765800737978
0.4638317778235334	1.3666739230615674
0.493746357363171	1.3319570759991792
0.5255902615239728	1.2860510562792906
0.5594879210534576	1.2300542650852282
0.5955717917928784	1.1652901426975817
0.6339828722513002	1.09325561368844
0.6748712545603383	1.0155685015965212
0.7183967109624241	0.9339147753887824
0.7647293181243155	0.8499957511670464
0.814050121715367	0.765475415230541
0.8665518438474171	0.6819287510615046
0.9224396361406296	0.6007929855498833
0.9819318813579067	0.5233245560592764
1.0452610467402808	0.45056494423866
1.1126745923777106	0.383318132552859
1.184435938164761	0.3221413778571101
1.2608254931195642	0.2673495352671324
1.342141751088154	0.2190316733020429
1.4287024571156526	0.1770775315624204
1.520845849041943	0.1412106883868978
1.6189319791733756	0.1110251675340698
1.7233441211949816	0.08602252256845606
1.8344902678207256	0.06564702366226038
1.952804725033903	0.04931725550590416
2.078749809147203	0.03645308027616566
2.212817653313756	0.026497451409973696
2.3555321305481143	0.01893296440442645
2.507450900771447	0.013293319048290515
2.6691675898798013	0.009170076078883597
2.841314109350185	0.006215248518474367
3.024563125448406	0.004140388677860964
3.2196306876871104	0.002712917001409792
3.4272790268048263	0.001750481135907751
3.6483195331991314	0.0011141244372928087
3.8836159274522672	0.0007009795445542074
4.134087635338082	0.0004370902943061143
4.400713380498225	0.0002708183143422628
4.684535008826041	0.00016712891382013746
4.986661559502046	0.00010289535129888028
5.30827359858862	6.322894336072669e-05
5.650627832117552	3.874609987898661e-05
6.015062016696169	2.3625900381373275e-05
6.403000186820358	1.4289960416442005e-05
6.815958219320289	8.541955760244726e-06
7.25554975668209	5.027085347304003e-06
7.723492512390906	2.902246077266717e-06
8.221614982933696	1.6382610549392522e-06
8.751863592688974	9.015658429172273e-07
9.31631029962236	4.824586201963411e-07
9.917160691507384	2.504805585326788e-07
10.556762604307618	1.2590237100392378e-07
11.237615296396733	6.115101806539878e-08
11.962379214464898	2.864861655798203e-08
12.73388638927206	1.2924277496831248e-08
13.555151501869656	5.60581431739428e-09
14.429383663532349	2.334471863979573e-09
15.35999895543007	9.321893074921248e-10
16.35063377703942	3.564027566671574e-10
17.40515905545365	1.3098567038577894e-10
18.52769537111441	4.190929436423557e-11
